,link,price,oldprice,otzyv
0,17251552,369,389,9549
1,167961444,346,365,9549
2,188123828,356,375,9549
3,100004164,649,684,9549
4,157773857,345,364,9549
5,17251548,378,398,9549
6,176706633,431,454,815
7,167959234,452,476,9549
8,109699070,325,343,1019
9,67908019,522,550,8746
10,84405932,923,972,6326
11,168067997,1244,1310,9549
12,83485031,1049,1105,6326
13,139162348,906,954,1469
14,165755177,407,429,2350
15,83485033,854,899,6326
16,165755121,436,459,7566
17,28876149,274,289,5683
18,104729321,235,248,84
19,177261217,1489,1568,1469
20,85676541,456,480,7566
21,175286016,311,328,9549
22,33099210,383,404,1674
23,33099174,401,423,957
24,40413921,338,356,295
25,84410546,1170,1232,751
26,122601417,486,512,2
27,100835390,608,640,329
28,99118841,811,854,9549
29,182269834,987,1039,1469
30,178115883,879,926,33
31,98107117,680,716,43
32,83485035,1510,1590,6326
33,33099184,360,379,1616
34,143796912,572,603,190
35,68478990,483,509,123
36,34365204,613,646,1
37,28876544,1389,1463,6326
38,140198806,431,454,115
39,123219944,314,331,690
40,60933334,444,468,103
41,40497658,281,296,243
42,15523741,244,257,22
43,177380944,453,477,91
44,192540687,1236,1302,9549
45,40497192,449,473,243
46,73580366,469,494,84
47,83485036,1062,1118,6326
48,100839355,1068,1125,329
49,53578546,313,330,174
50,158552480,623,656,50
51,177380925,505,532,91
52,158384935,908,956,751
53,125320634,768,809,54
54,177380956,494,520,7566
55,89103485,286,302,334
56,87650375,842,887,151
57,12179127,420,443,360
58,172939395,296,312,944
59,38785977,592,624,4951
60,159696689,599,631,679
61,60933335,270,285,103
62,146049550,433,456,384
63,163818262,517,545,380
64,34368978,592,624,2
65,165755164,1151,1212,566
66,183594448,387,408,3227
67,193667345,331,349,110
68,83485032,1165,1227,6326
69,20907139,430,453,186
70,188074856,785,827,186
71,58444376,389,410,194
72,143677864,687,724,190
73,191769743,366,386,547
74,144374942,679,715,202
75,213068735,677,713,44
76,177380953,412,434,7566
77,143672129,610,643,190
78,89147564,315,332,79
79,77486494,412,434,101
80,97334046,596,628,103
81,87941494,1484,1563,151
82,158384941,879,926,751
83,193677542,341,359,110
84,154739657,349,368,2081
85,85676542,332,350,7566
86,183594530,560,590,569
87,158384929,730,769,751
88,33099213,386,407,1400
89,158384925,717,755,751
90,177380954,536,565,7566
91,12504627,576,607,281
92,116114670,226,238,329
93,93653311,879,926,295
94,175291909,628,662,46
95,15447466,360,379,72
96,143655157,435,458,190
97,66966680,406,428,380
98,143793518,408,430,190
99,99984926,3283,3456,21
100,99245521,960,1011,319
101,163809696,286,302,380
102,163807075,267,282,380
103,25399913,467,492,186
104,12179151,448,472,52
105,158384950,1463,1540,119
106,105113017,733,772,10
107,97714608,518,546,16
108,177380943,458,483,91
109,146657558,374,394,43
110,34311660,660,695,2
111,141546501,960,1011,3
112,141548551,785,827,8
113,98025443,488,514,16
114,153363245,654,689,156
115,36094666,325,343,8
116,177380957,680,716,7566
117,147126431,366,386,547
118,163808178,286,302,380
119,151927809,435,458,12
120,215199333,404,426,2
121,89148849,450,474,79
122,85676543,453,477,733
123,215200153,316,333,2
124,140110175,779,820,355
125,42745469,471,496,232
126,132454390,1150,1211,64
127,51186900,699,736,72
128,93649639,599,631,243
129,177380960,313,330,7566
130,143679720,962,1013,190
131,89152924,309,326,79
132,170944991,767,808,392
133,34778672,2933,3088,53
134,158384951,1483,1562,119
135,85675417,718,756,733
136,87420347,365,385,380
137,192272287,916,965,83
138,34271276,345,364,19
139,47512376,413,435,
140,98109824,474,499,16
141,146715383,357,376,165
142,99245295,842,887,319
143,191769744,366,386,547
144,150749875,288,304,5
145,87639731,1816,1912,151
146,73496068,132,139,278
147,193667343,698,735,110
148,15027744,1149,1210,727
149,153862482,449,473,733
150,25400982,1173,1235,186
151,188581853,522,550,3
152,89151291,261,275,79
153,211668714,1243,1309,3
154,87388536,454,478,380
155,122832128,202,213,263
156,87942468,1494,1573,151
157,45406723,518,546,89
158,59270317,305,322,679
159,217402394,420,443,
160,217402401,296,312,
161,99245294,463,488,319
162,193667344,576,607,110
163,182283635,497,524,127
164,147126429,366,386,547
165,193670792,1047,1103,110
166,165755127,730,769,1616
167,183594459,1122,1182,7566
168,165755146,435,458,484
169,122846810,280,295,59
170,146047920,522,550,384
171,87615441,278,293,55
172,89098175,508,535,334
173,84416146,554,584,185
