data,competitor,name,group,weight,price,price_old,discount,insert,otzyvy,lock,article
2024-03-17,Мед Куляшовых,"мед натуральный гречишный 1 кг, пп сладости без сахара",,1000.0,369,389,0.95,традиционный,9549.0,гречиха; гречиха,17251552
2024-03-17,Мед Куляшовых,мед натуральный разнотравье 1 кг,,1000.0,346,365,0.95,традиционный,9549.0,Разнотравье,167961444
2024-03-17,Мед Куляшовых,"мед липовый натуральный, пп сладости без сахара 500 г",,716.0,356,375,0.95,традиционный,9549.0,липа,188123828
2024-03-17,Мед Куляшовых,мед липовый натуральный 1 кг сладости без сахара vtl,,1000.0,649,684,0.95,традиционный,9549.0,липа,100004164
2024-03-17,Мед Куляшовых,мед натуральный луговой 1 кг,,1000.0,345,364,0.95,традиционный,9549.0,Луговой,157773857
2024-03-17,Мед Куляшовых,мед натуральный лесной 1 кг сладости без сахара vtl,,1000.0,378,398,0.95,традиционный,9549.0,Лесной,17251548
2024-03-17,Мёд семьи Важениных,"мед натуральный в стекле дикое разнотравье башкирии, 1 кг ",,1000.0,431,454,0.95,разнотравье,815.0,натуральный мед; мед без сахара; сладкий мёд 2023,176706633
2024-03-17,Мед Куляшовых,мед натуральный горный 1 кг,,1000.0,452,476,0.95,традиционный,9549.0,Горный,167959234
2024-03-17,Медовый Рой,мед натуральный цветочный разнотравье 1 кг сбор 2023,,1000.0,325,343,0.95,традиционный; разнотравный,1019.0,медовый; ягодный; сладкий,109699070
2024-03-17,Антон МедоВ,мед гречишный натуральный 1 кг. без сахара 2023 г.,,1000.0,522,550,0.95,полезные сладости; крем мед суфле; продукты питания,8746.0,терпкий; с горчинкой; медовый,67908019
2024-03-17,Мёд семьи Мамдеевых,"подарочный набор натурального меда, без сахара",,2000.0,923,972,0.95,натуральный; Набор с медом; Башкирский Мед,6326.0,ягодный; медовый; Сладкий без сахара,84405932
2024-03-17,Мед Куляшовых,"мед натуральный липовый 2 кг, пп сладости без сахара",,2000.0,1244,1310,0.95,традиционный,9549.0,липа,168067997
2024-03-17,Мёд семьи Мамдеевых,"подарочный набор натурального меда, без сахара",,2000.0,1049,1105,0.95,натуральный; Набор с медом; Башкирский Мед,6326.0,ягодный; медовый; Сладкий без сахара,83485031
2024-03-17,Ёлки Пчёлки,"подарочный набор натурального меда, сладости",,680.0,906,954,0.95,липовый,1469.0,сладкий; медовый; орех,139162348
2024-03-17,Мёд семьи Мамдеевых,"донниковый мёд, подарочный набор, пп, зож",,600.0,407,429,0.95,натуральный; Набор с медом; Башкирский Мед,2350.0,ягодный; медовый; Сладкий без сахара,165755177
2024-03-17,Мёд семьи Мамдеевых,"подарочный набор натурального меда, без сахара",,2000.0,854,899,0.95,натуральный; Набор с медом; Башкирский Мед,6326.0,ягодный; медовый; Сладкий без сахара,83485033
2024-03-17,Мёд семьи Мамдеевых,"мёд с мумие, подарочный набор",,600.0,436,459,0.95,натуральный; Набор с медом; Башкирский Мед,7566.0,ягодный; медовый; Сладкий без сахара,165755121
2024-03-17,Мёд семьи Мамдеевых,"светлый мед белая акация, сладости",,500.0,274,289,0.95,натуральный; Набор с медом; Башкирский Мед,5683.0,ягодный; медовый; Сладкий без сахара,28876149
2024-03-17,ЖидковЕ,мед башкирский цветок,,500.0,235,248,0.95,мелкозернистый; Башкирский Мед,84.0,мёд,104729321
2024-03-17,Ёлки Пчёлки,подарочный набор натурального меда с орехами,,1630.0,1489,1568,0.95,традиционный,1469.0,грецкий орех; кешью; лесной орех,177261217
2024-03-17,Мёд семьи Мамдеевых,"мёд с мумие стронг, двойное мумиё",,950.0,456,480,0.95,горный; луговой; разнотравный,7566.0,ягодный; натуральный; сладкий медовый,85676541
2024-03-17,Мед Куляшовых,"мёд натуральный с куркумой, имбирем и корицей",,440.0,311,328,0.95,мед крем; мусс; суфле,9549.0,Куркума; имбирь; корица,175286016
2024-03-17,Мёд семьи Мамдеевых,"мед с прополисом, натуральный,без сахара",,950.0,383,404,0.95,натуральный; Набор с медом; Башкирский Мед,1674.0,,33099210
2024-03-17,Мёд семьи Мамдеевых,"майский мед, 950 г",,950.0,401,423,0.95,натуральный; Набор с медом; Башкирский Мед,957.0,ягодный; медовый; Сладкий без сахара,33099174
2024-03-17,Пасека Якупова Рината,башкирский горный липовый мед сбор 2023,,500.0,338,356,0.95,вегетарианский; суперфуд; мёд натуральный,295.0,полезные сладости без сахара; постные продукты питания; мед органический липовый,40413921
2024-03-17,Мёд семьи Мамдеевых,"подарочный набор меда, зож, постные сладости",,960.0,1170,1232,0.95,натуральный; Набор с медом; Башкирский Мед,751.0,ягодный; медовый; Сладкий без сахара,84410546
2024-03-17,ЖидковЕ,мед башкирский цветок пасека жидкова 1420 г ,,1420.0,486,512,0.95,мелкозернистый,2.0,цветочный,122601417
2024-03-17,Башкирские пасеки,набор башкирского меда подарочный 3 б,,450.0,608,640,0.95,Цветочный Разнотравный Горный Луговой Лесной; липовый; гречишный,329.0,Насыщенный вкус и аромат. Насыщенный яркий; Сладкий / густой / натуральный,100835390
2024-03-17,Мед Куляшовых,подарочный набор меда и орехов в меду на 8 марта,,950.0,811,854,0.95,традиционный,9549.0,липа; орех,99118841
2024-03-17,Ёлки Пчёлки,подарочный набор липового меда ассорти,,720.0,987,1039,0.95,традиционный,1469.0,липа; орех; сухофрукт,182269834
2024-03-17,Ultra Honey,мед натуральный башкирский набор шоубокс  500 гр,,500.0,879,926,0.95,подарочный; традиционный; цветочный,33.0,цветочный; сладкий; Насыщенный вкус и аромат,178115883
2024-03-17,Башкирский Мёд семьи Идрисовых,мед гречишный,,1470.0,680,716,0.95,традиционный,43.0,медовый; сладкий; бархатный,98107117
2024-03-17,Мёд семьи Мамдеевых,"подарочный набор натурального меда, без сахара",,1690.0,1510,1590,0.95,натуральный; Набор с медом; Башкирский Мед,6326.0,ягодный; медовый; Сладкий без сахара,83485035
2024-03-17,Мёд семьи Мамдеевых,"акациевый мед с алтая, без сахара",,1000.0,360,379,0.95,горный; луговой; разнотравный,1616.0,ягодный; сладкий; медовый,33099184
2024-03-17,МЕДОВЗ,мед цветочный башкирский 1400 гр. ,,1600.0,572,603,0.95,традиционный; суфле; крем мед,190.0,ароматные травы; мёд; цветочный,143796912
2024-03-17,Башкирские пасеки,мед   башкирский натуральный 2023 года 400 гр,,450.0,483,509,0.95,липовый,123.0,Насыценный вкус и аромат; сладкий,68478990
2024-03-17,Дикий Мед,"медовая смесь №4 ""гриб чага"" премиум из башкирии 200 гр /эко/ ""дикий мед""",,200.0,613,646,0.95,,1.0,,34365204
2024-03-17,Мёд семьи Мамдеевых,"подарочный набор натурального меда, без сахара",,1700.0,1389,1463,0.95,горный; луговой; разнотравный,6326.0,ягодный; сладкий; медовый,28876544
2024-03-17,БАЛ БАБАЙ,мед башкирский цветочный,,1000.0,431,454,0.95,традиционный; башкирский,115.0,ароматный; насыщенный; приятное послевкусие,140198806
2024-03-17,Эко Пчела Здоровье,мед башкирский гречишный 1кг,,1000.0,314,331,0.95,горный; высокогорный; цветочный,690.0,"без сахара; сладкий, нежный",123219944
